9,6400000002108,405,統一速邁樂加油站-路竹加油站(中油),6400024,高雄市路竹區環球路305號,07-6965238,
25,6400000002101,405,中油加油站-和蓮站,6400023,高雄市阿蓮區和蓮村中正路960號,07-6312453,
28,6400000002691,503,月世界風景特定區,6400022,高雄市田寮區崇德村月球路36號,07-6366611,
38,6400000004164,402,神腦高雄阿蓮服務中心,6400023,高雄市阿蓮區民生路103號,07-6319382,
49,6400000003119,603,龍華山莊渡假村,6400030,高雄市旗山區花旗二路300巷2號,07-6622018,
50,6400000002292,405,中油加油站-三多二路站(中油直營),6400008,高雄市苓雅區三多二路80號,07-7618709,
52,6400000001314,204,高雄市立圖書館茂林分館,6400036,高雄市茂林區茂林里8號之3,07-6801340,
53,6400000000690,107,內政部入出國及移民署,6400008,高雄市苓雅區海邊路33號,07-2692807,
57,6400000002847,513,海諾南山,6400037,高雄市桃源區,,
58,6400000001391,303,桃源區立體停車場,6400037,高雄市桃源區,,
60,6400000001246,203,市立光華國小,6400009,高雄市前鎮區廣西路57號,07-7222846,
61,6400000002089,405,中油加油站-茄萣仁愛站,6400026,高雄市吉安村仁愛路一段2號,07-6986836,
62,6400000001880,402,亞太行動寬頻電信-鳳山光遠加盟服務中心,6400012,高雄市鳳山區光遠路352號,07-7403333,
64,6400000001312,204,高雄市立圖書館甲仙分館,6400033,高雄市甲仙區和安村中山路48號,07-6751773,
65,6400000000819,108,高雄市美濃區第一公有零售市場,6400031,高雄市美濃區美中路260號,07-6814311#60,
69,6400000001483,303,公有民權路輕鋼架立體停車場,6400006,高雄市新興區民權一路221號,,
70,6400000000568,107,高雄市消防局旗山消防分隊,6400030,高雄市旗山區延平一路507號,07-6612300,
71,6400000003915,402,台灣大鳳山青年一直營服務中心,6400012,高雄市鳳山區青年路一段321、323號,123或0800-080123,
82,6400000001313,204,高雄市立圖書館美濃分館,6400031,高雄市美濃區合和里美中路256號,07-6817002,
85,6400000003924,402,威寶鳳山中山西直營服務中心,6400012,高雄市鳳山區中山西路295、297號,,
86,6400000000556,107,高雄市消防局美濃消防分隊,6400031,高雄市美濃區民生路75號,07-6812039,
87,6400000000104,101,行政院海岸巡防署海岸巡防總局南部地區巡防局第五海岸巡防總隊,6400002,高雄市鼓山區萬壽路100號,07-5616544,
91,6400000000978,203,市立美濃國小,6400031,高雄市美濃區泰安里永安路190號,07-6810166,
104,6400000002280,405,中油加油站-中正三路站(中油直營),6400006,高雄市新興區中正三路9號,07-2261045,
110,6400000000750,108,高雄市內門區立托兒所,6400035,高雄市內門區觀亭村中正路227號,07-6674739,
111,6400000002294,405,中油加油站-建國一路站(刷卡自助)(中油直營),6400008,高雄市苓雅區建國一路142號,07-7518715,
112,6400000003837,305,汕尾漁港,6400013,,,
116,6400000002577,409,茄萣農會-白砂崙分,6400026,高雄市茄萣區白砂路143號,07--6900701,
120,6400000001117,203,市立文山國小,6400012,高雄市鳳山區鳳松路25巷20號,07-7460412,
124,6400000003342,402,遠傳電信-苓雅大順特約服務中心,6400008,高雄市苓雅區大順三路222號,07-7220666,
125,6400000002575,409,湖內農會-太爺分部,6400025,高雄市湖內區中正路一段60號,,
129,6400000003666,201,國立高雄應用科技大學附進修學院,6400005,高雄市三民區建工路四一五號,07-3814526,
130,6400000002254,405,中油加油站-建國二路站(中油直營),6400005,高雄市三民區建國二路66號,07-2383484,
132,6400000002384,406,大林蒲濱海植物公園,6400011,高雄市小港區,,
142,6400000003842,305,小港臨海新村漁港,6400011,高雄市小港區,,
143,6400000001562,305,海汕小漁港,6400011,高雄市小港區,,
144,6400000001561,305,紅毛港,6400011,高雄市小港區,,
145,6400000001548,303,高雄市政府公共停車場,6400011,高雄市小港區,,
146,6400000000028,101,高雄市憲兵隊臨海工業區憲兵分隊,6400011,高雄市小港區,07-8019773,
148,6400000001546,303,公有停車場,6400011,高雄市小港區,,
149,6400000001939,402,亞太高雄覺民加盟服務中心,6400005,高雄市三民區覺民路224號,07-3838669,
155,6400000000211,101,行政院農業委員會農業試驗所鳳山熱帶園藝試驗分所,6400012,高雄市鳳山區文山路園藝巷4號,07-7310191,
163,6400000001403,303,美濃黃蝶翠谷休息區停車場,6400031,高雄市美濃區廣林里,07-6612031,
164,6400000002905,603,中和旅社,6400005,高雄市三民區建國三路41號,07-2213436,
168,6400000002383,406,旗津海岸公園,6400010,高雄市旗津區,,
169,6400000001539,303,旗津海岸公園停車場,6400010,高雄市旗津區,,
170,6400000002825,511,旗津海鮮街,6400010,高雄市旗津區,,
171,6400000003513,204,高雄市立圖書館內門內埔分館,6400035,高雄市內門區內豐村內埔140之1號,07-6674467,
172,6400000002259,405,中油加油站-建工路站(刷卡自助)(中油直營),6400005,高雄市三民區建工路566號,07-3832928,
175,6400000002796,508,國蘭花園溫泉會館,6400032,高雄市六龜區寶來2巷36之30號,07-6882231,
177,6400000000749,108,高雄市內門區清潔隊,6400035,高雄市內門區內門村內門20號,07-6773774,
182,6400000001962,402,威寶高雄十全直營服務中心,6400005,高雄市三民區十全一路375號,07-3114802,
184,6400000002820,511,瑞豐夜市,6400002,高雄市鼓山區,07-2155100,
190,6400000002697,503,萬壽山風景區,6400002,高雄市鼓山區,,
191,6400000002719,503,壽山,6400002,高雄市鼓山區,07-2155100,
192,6400000002696,503,柴山自然公園,6400002,高雄市鼓山區,,
193,6400000002380,406,美術公園,6400002,高雄市鼓山區,,
194,6400000002698,503,萬壽山公園風景區,6400002,高雄市鼓山區,,
195,6400000001476,303,壽山公園停車場,6400002,高雄市鼓山區,,
199,6400000003302,402,遠傳電信-高雄建工二特約服務中心,6400005,高雄市三民區建工路595號,07-3972299,
203,6400000001560,305,中洲漁港,6400010,高雄市旗津區,,
207,6400000001178,203,市立博愛國小,6400005,高雄市三民區十全一路202號,07-3110708,
211,6400000002794,508,國蘭溫泉山莊,6400032,高雄市六龜區中正路81之2號,07-6882233,
214,6400000003741,203,私立大榮高中附設國中,6400002,高雄市鼓山區大榮街1號,07-5613281,
216,6400000003792,202,私立大榮高中進修學校,6400002,高雄市鼓山區大榮街1號,07-5613281,
219,6400000001738,308,台88-大寮交流道-西行,6400014,,,
220,6400000001739,308,台88-大寮交流道-東行,6400014,,,
221,6400000003862,308,國道一號五甲交流道（北上出口）,6400012,,,
222,6400000003863,308,國道一號五甲交流道（南下入口）,6400012,,,
224,6400000003859,507,旗後砲台,6400010,高雄市旗津區旗後山頂,,
225,6400000003860,509,旗津風景區,6400010,高雄市旗津區,07-5712500,
229,6400000003543,203,聖文幼稚園,6400009,高雄市前鎮區翠享北路281號,07-8138669,
232,6400000001736,308,台88-鳳山交流道-東行,6400012,,,
234,6400000003092,603,安迪旅館,6400014,高雄市大寮區周廣街5號,07-7882933,
237,6400000001735,308,台88-鳳山交流道-西行,6400012,,,
238,6400000001740,308,台88-大發交流道-西行,6400014,,,
239,6400000001741,308,台88-大發交流道-東行,6400014,,,
246,6400000003205,604,梅礦民宿,6400032,高雄市六龜區寶來村竹林路65-31號,07-6883330,
247,6400000004024,308,國道一號鼎金系統交流道（南下入口）,6400005,高雄市仁武區,,
248,6400000001730,308,國10-鼎金系統交流道-北上,6400017,高雄市仁武區,,
249,6400000001731,308,國10-仁武交流道-北上,6400017,高雄市仁武區,,
250,6400000002351,406,澄觀公園,6400017,高雄市仁武區,,
251,6400000004044,308,國道十號鼎金系統交流道（東行入口）,6400017,高雄市仁武區,,
253,6400000001734,308,台88-五甲系統交流道-東行,6400012,,,
254,6400000002314,405,台塑加油站-台亞大業站,6400009,高雄市前鎮區凱旋四路560號,07-8216871,
260,6400000003623,203,市立前峰國小補校,6400019,高雄市岡山區仁壽里育英路35號,07-6262415,
261,6400000001569,305,旗后漁港,6400010,高雄市旗津區,,
263,6400000004125,203,市立前峰國中,6400019,高雄市岡山區樹人路1號,07-6266171,
269,6400000001565,305,興達遠洋港區,6400026,高雄市茄萣區,,
271,6400000002682,503,大智瀑布,6400032,高雄市六龜區,,
272,6400000001393,303,邦腹停車場,6400032,高雄市六龜區,,
273,6400000002681,503,飛虹瀑布,6400032,高雄市六龜區,,
